idrelatorio,data,descricao,idutilizador,idalerta
282,2026-05-12 07:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 50.58.,2,282
283,2026-05-12 07:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 56.47.,1,283
284,2026-05-12 07:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 45.75.,1,284
285,2026-05-12 08:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 51.65.,1,285
286,2026-05-12 08:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 36.45.,3,286
287,2026-05-12 08:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 46.81.,2,287
288,2026-05-12 09:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 42.87.,2,288
289,2026-05-12 09:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 33.39.,3,289
290,2026-05-12 09:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 30.10.,1,290
291,2026-05-12 09:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 48.11.,2,291
292,2026-05-12 10:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 50.73.,1,292
293,2026-05-12 10:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 33.44.,2,293
294,2026-05-12 11:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 79.68.,2,294
295,2026-05-12 11:15:00,Relatório automático do alerta Verde. Razões principais: Valores abaixo dos limites iniciais. Score de risco: 27.58.,2,295
296,2026-05-12 11:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 30.35.,3,296
297,2026-05-12 12:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 71.78.,1,297
298,2026-05-12 12:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 34.89.,3,298
299,2026-05-12 12:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 29.44.,1,299
300,2026-05-12 13:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 73.83.,2,300
301,2026-05-12 13:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 53.73.,2,301
302,2026-05-12 14:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 73.66.,2,302
303,2026-05-12 14:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 42.33.,3,303
304,2026-05-12 14:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 23.82.,2,304
305,2026-05-12 15:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Score de risco: 71.08.,1,305
306,2026-05-12 15:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 34.09.,2,306
307,2026-05-12 15:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 41.98.,2,307
308,2026-05-12 16:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 72.73.,3,308
309,2026-05-12 16:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 36.64.,1,309
310,2026-05-12 16:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 45.58.,3,310
311,2026-05-12 17:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 46.29.,2,311
312,2026-05-12 17:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 36.64.,3,312
313,2026-05-12 17:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 44.81.,2,313
314,2026-05-12 17:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 29.18.,2,314
315,2026-05-12 18:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 43.45.,3,315
316,2026-05-12 18:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 35.96.,2,316
317,2026-05-12 18:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 46.65.,2,317
318,2026-05-12 19:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 39.14.,3,318
319,2026-05-12 19:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 44.94.,1,319
320,2026-05-12 19:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 39.54.,2,320
321,2026-05-12 20:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 34.87.,2,321
322,2026-05-12 20:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 42.24.,3,322
323,2026-05-12 20:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 36.58.,2,323
324,2026-05-12 20:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 27.40.,1,324
325,2026-05-12 21:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 36.67.,2,325
326,2026-05-12 21:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 43.33.,1,326
327,2026-05-12 21:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 40.01.,3,327
328,2026-05-12 21:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 28.10.,3,328
329,2026-05-12 22:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 37.91.,3,329
330,2026-05-12 22:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 37.98.,1,330
331,2026-05-12 22:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 32.14.,2,331
332,2026-05-12 23:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 35.17.,2,332
333,2026-05-12 23:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 41.08.,1,333
334,2026-05-12 23:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 37.96.,1,334
335,2026-05-12 23:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 64.51.,1,335
336,2026-05-13 00:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 34.88.,3,336
337,2026-05-13 00:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 43.09.,1,337
338,2026-05-13 00:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 54.88.,2,338
339,2026-05-13 01:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 41.79.,2,339
340,2026-05-13 01:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 51.10.,2,340
341,2026-05-13 01:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Score de risco: 54.64.,1,341
342,2026-05-13 02:15:00,Relatório automático do alerta Verde. Razões principais: Valores abaixo dos limites iniciais. Score de risco: 30.73.,3,342
343,2026-05-13 02:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 42.37.,2,343
344,2026-05-13 02:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 54.28.,1,344
345,2026-05-13 03:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 57.84.,3,345
346,2026-05-13 03:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 58.64.,2,346
347,2026-05-13 04:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 35.89.,2,347
348,2026-05-13 04:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 55.49.,3,348
349,2026-05-13 04:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 84.00.,3,349
350,2026-05-13 05:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Score de risco: 59.58.,2,350
351,2026-05-13 05:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Score de risco: 59.59.,2,351
352,2026-05-13 06:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 52.99.,2,352
353,2026-05-13 06:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 35.21.,3,353
354,2026-05-13 06:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 57.81.,1,354
355,2026-05-13 06:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Score de risco: 60.97.,1,355
356,2026-05-13 07:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 48.74.,1,356
357,2026-05-13 07:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 36.51.,2,357
358,2026-05-13 07:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 42.78.,3,358
359,2026-05-13 07:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Score de risco: 58.56.,2,359
360,2026-05-13 08:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 46.28.,2,360
361,2026-05-13 08:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 43.79.,2,361
362,2026-05-13 08:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 63.68.,2,362
363,2026-05-13 09:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 48.81.,3,363
364,2026-05-13 09:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 39.82.,2,364
365,2026-05-13 09:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Score de risco: 59.05.,3,365
366,2026-05-13 10:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 55.29.,3,366
367,2026-05-13 10:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 43.84.,3,367
368,2026-05-13 10:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 34.09.,2,368
369,2026-05-13 11:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 50.66.,2,369
370,2026-05-13 11:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 42.98.,2,370
371,2026-05-13 11:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 41.53.,3,371
372,2026-05-13 12:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 61.50.,1,372
373,2026-05-13 12:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 31.98.,2,373
374,2026-05-13 13:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 40.74.,2,374
375,2026-05-13 13:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 60.92.,2,375
376,2026-05-13 13:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 56.93.,2,376
377,2026-05-13 13:15:00,Relatório automático do alerta Verde. Razões principais: Valores abaixo dos limites iniciais. Score de risco: 29.75.,2,377
378,2026-05-13 14:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 43.33.,2,378
379,2026-05-13 14:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 51.27.,2,379
380,2026-05-13 14:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 51.00.,2,380
381,2026-05-13 15:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 43.63.,2,381
382,2026-05-13 15:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 49.82.,3,382
383,2026-05-13 15:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 53.03.,2,383
384,2026-05-13 16:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 37.19.,3,384
385,2026-05-13 16:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 48.84.,2,385
386,2026-05-13 16:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 44.68.,2,386
387,2026-05-13 16:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 50.67.,2,387
388,2026-05-13 17:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 49.61.,2,388
389,2026-05-13 17:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 44.67.,1,389
390,2026-05-13 17:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 42.60.,3,390
391,2026-05-13 18:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 42.82.,1,391
392,2026-05-13 18:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 45.12.,2,392
393,2026-05-13 18:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 72.96.,2,393
394,2026-05-13 19:15:00,Relatório automático do alerta Verde. Razões principais: Valores abaixo dos limites iniciais. Score de risco: 39.89.,2,394
395,2026-05-13 19:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 69.59.,2,395
396,2026-05-13 20:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 31.36.,3,396
397,2026-05-13 20:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 36.40.,2,397
398,2026-05-13 20:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 80.14.,1,398
399,2026-05-13 21:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 71.54.,2,399
400,2026-05-13 22:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 42.86.,1,400
401,2026-05-13 22:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 70.14.,2,401
402,2026-05-13 23:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 29.93.,1,402
403,2026-05-13 23:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água superior ou igual a 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Score de risco: 65.61.,2,403
404,2026-05-14 00:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 36.02.,3,404
405,2026-05-14 00:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 27.43.,3,405
406,2026-05-14 00:15:00,Relatório automático do alerta Laranja. Razões principais: Nível de água entre 70% e 85%. Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 47.30.,2,406
407,2026-05-14 01:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 41.88.,2,407
408,2026-05-14 01:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 37.82.,2,408
409,2026-05-14 01:15:00,Relatório automático do alerta Vermelho. Razões principais: Nível de água entre 85% e 90%. Precipitação acumulada superior a 60 mm nas últimas 6 horas. Precipitação prevista superior a 40 mm na próxima hora. Score de risco: 70.02.,1,409
410,2026-05-14 02:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 41.02.,3,410
411,2026-05-14 02:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 38.06.,1,411
412,2026-05-14 02:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 47.85.,2,412
413,2026-05-14 03:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 40.22.,2,413
414,2026-05-14 03:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 38.90.,3,414
415,2026-05-14 03:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 44.55.,2,415
416,2026-05-14 04:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 38.07.,1,416
417,2026-05-14 04:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 39.21.,3,417
418,2026-05-14 04:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 46.20.,1,418
419,2026-05-14 05:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Score de risco: 39.69.,1,419
420,2026-05-14 05:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 48.25.,1,420
421,2026-05-14 06:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 38.31.,1,421
422,2026-05-14 06:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 21 e 40 mm na próxima hora. Score de risco: 42.77.,3,422
423,2026-05-14 06:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 36.54.,2,423
424,2026-05-14 06:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 41 e 60 mm nas últimas 6 horas. Score de risco: 43.95.,3,424
425,2026-05-14 07:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 39.03.,1,425
426,2026-05-14 07:15:00,Relatório automático do alerta Laranja. Razões principais: Precipitação acumulada entre 30 e 40 mm nas últimas 6 horas. Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 41.47.,3,426
427,2026-05-14 08:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 29.72.,3,427
428,2026-05-14 09:15:00,Relatório automático do alerta Amarelo. Razões principais: Precipitação prevista entre 10 e 20 mm na próxima hora. Score de risco: 37.43.,2,428
